Date : 2025-07-09 15:40:50
Directory : d:\app2
Total : 105 files,  12779 codes, 4573 comments, 1852 blanks, all 19204 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php      | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php      | PHP        |         27 |          9 |          3 |         39 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php      | PHP        |         20 |          6 |          3 |         29 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ur.php      | PHP        |         23 |          5 |          3 |         31 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php      | PHP        |         19 |          6 |          3 |         28 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php      | PHP        |         20 |          7 |          3 |         30 |
| d:\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php   | PHP        |         27 |          7 |          3 |         37 |
| d:\app2\vendor\phpmailer\phpmailer\src\DSNConfigurator.php             | PHP        |        136 |         80 |         30 |        246 |
| d:\app2\vendor\phpmailer\phpmailer\src\Exception.php                   | PHP        |          9 |         28 |          4 |         41 |
| d:\app2\vendor\phpmailer\phpmailer\src\OAuth.php                       | PHP        |         46 |         79 |         15 |        140 |
| d:\app2\vendor\phpmailer\phpmailer\src\OAuthTokenProvider.php          | PHP        |          6 |         35 |          4 |         45 |
| d:\app2\vendor\phpmailer\phpmailer\src\PHPMailer.php                   | PHP        |      2,985 |      1,979 |        399 |      5,363 |
| d:\app2\vendor\phpmailer\phpmailer\src\POP3.php                        | PHP        |        183 |        234 |         53 |        470 |
| d:\app2\vendor\phpmailer\phpmailer\src\SMTP.php                        | PHP        |        757 |        644 |        147 |      1,548 |
| Total                                                                  |            |     12,779 |      4,573 |      1,852 |     19,204 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
